Класс,Номер тура,Лига,Номер задачи,Тип задачи,Обоснование
5,5 тур,Первая,1,Тип 3: Задачи на подсчет или пример,Текстовая задача на расчет скоростей и расстояний.
5,5 тур,Вторая,1,Тип 3: Задачи на подсчет или пример,Текстовая задача на расчет скоростей и расстояний.
5,5 тур,Высшая,2,Тип 1: Логика и комбинаторика,Поиск выигрышной стратегии в математической игре.
5,5 тур,Первая,2,Тип 1: Логика и комбинаторика,Поиск выигрышной стратегии в математической игре.
5,5 тур,Вторая,2,Тип 3: Задачи на подсчет или пример,Геометрический подсчет сторон и периметра фигуры.
5,5 тур,Высшая,3,Тип 3: Задачи на подсчет или пример,Требуется привести графический пример расстановки фигур.
5,5 тур,Первая,3,Тип 3: Задачи на подсчет или пример,Требуется привести графический пример расстановки фигур.
5,5 тур,Вторая,3,Тип 2: Арифметика и теория чисел,Работа с делимостью и кратностью при подсчете школьников.
5,5 тур,Высшая,4,Тип 2: Арифметика и теория чисел,Завязана на свойствах десятичной записи чисел и перевороте цифр.
5,5 тур,Первая,4,Тип 2: Арифметика и теория чисел,Завязана на свойствах десятичной записи чисел и перевороте цифр.
5,5 тур,Вторая,4,Тип 2: Арифметика и теория чисел,Классический числовой ребус на умножение.
5,5 тур,Высшая,5,Тип 1: Логика и комбинаторика,"Логический анализ передач стаканов, поиск инварианта."
5,5 тур,Первая,5,Тип 1: Логика и комбинаторика,"Логический анализ передач стаканов, поиск инварианта."
5,5 тур,Вторая,5,Тип 1: Логика и комбинаторика,Логика истинности высказываний артистов.
5,5 тур,Высшая,6,Тип 1: Логика и комбинаторика,Построение алгоритма перестановок.
5,5 тур,Первая,6,Тип 2: Арифметика и теория чисел,Разбиение на группы на основе суммы цифр и делимости на 3.
5,5 тур,Вторая,6,Тип 1: Логика и комбинаторика,Поиск выигрышной стратегии для фигур на шахматной доске.
5,5 тур,Высшая,7,Тип 3: Задачи на подсчет или пример,Текстовая задача на подсчет количества людей в группах.
5,5 тур,Первая,7,Тип 3: Задачи на подсчет или пример,Текстовая задача на подсчет количества людей в группах.
5,5 тур,Вторая,7,Тип 3: Задачи на подсчет или пример,Текстовая задача на подсчет количества людей в группах.
5,5 тур,Высшая,8,Тип 2: Арифметика и теория чисел,Анализ четности сумм и возможности разбиения на группы.
5,5 тур,Первая,8,Тип 2: Арифметика и теория чисел,Анализ четности сумм и возможности разбиения на группы.
5,5 тур,Вторая,8,Тип 2: Арифметика и теория чисел,Анализ четности сумм и возможности разбиения на группы.
5,4 тур,Высшая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический расчет высоты по известным треугольникам.
5,4 тур,Первая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический расчет высоты по известным треугольникам.
5,4 тур,Вторая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический расчет высоты по известным треугольникам.
5,4 тур,Высшая,1,Тип 1: Логика и комбинаторика,Комбинаторная задача на разрезание доски на доминошки.
5,4 тур,Первая,1,Тип 3: Задачи на подсчет или пример,Вычисление площади и периметров прямоугольников.
5,4 тур,Вторая,1,Тип 3: Задачи на подсчет или пример,Вычисление площади и периметров прямоугольников.
5,4 тур,Высшая,2,Тип 1: Логика и комбинаторика,Анализ игры с раскраской клеток.
5,4 тур,Первая,2,Тип 1: Логика и комбинаторика,Поиск минимального числа тестов (алгоритм взвешивания/поиска).
5,4 тур,Вторая,2,Тип 1: Логика и комбинаторика,Поиск минимального числа тестов (алгоритм взвешивания/поиска).
5,4 тур,Высшая,3,Тип 3: Задачи на подсчет или пример,Текстовая задача на точный расчет событий.
5,4 тур,Первая,3,Тип 3: Задачи на подсчет или пример,Текстовая задача на точный расчет событий.
5,4 тур,Вторая,3,Тип 3: Задачи на подсчет или пример,Текстовая задача на точный расчет событий.
5,4 тур,Высшая,4,Тип 2: Арифметика и теория чисел,Поиск делимости на конкретное число 111111.
5,4 тур,Первая,4,Тип 3: Задачи на подсчет или пример,Оценка и построение примера расстановки чисел по кругу.
5,4 тур,Вторая,4,Тип 3: Задачи на подсчет или пример,Оценка и построение примера расстановки чисел по кругу.
5,4 тур,Высшая,5,Тип 2: Арифметика и теория чисел,Оценка максимальной суммы чисел.
5,4 тур,Первая,5,Тип 2: Арифметика и теория чисел,Оценка максимальной суммы чисел.
5,4 тур,Вторая,5,Тип 3: Задачи на подсчет или пример,Вычисление маршрута движения фигуры на сетке.
5,4 тур,Высшая,6,Тип 1: Логика и комбинаторика,"Логический анализ диалога (мета-знание: «я знаю, что он знает»)."
5,4 тур,Первая,6,Тип 1: Логика и комбинаторика,"Логический анализ диалога (мета-знание: «я знаю, что он знает»)."
5,4 тур,Вторая,6,Тип 1: Логика и комбинаторика,"Логический анализ диалога (мета-знание: «я знаю, что он знает»)."
5,4 тур,Высшая,7,Тип 3: Задачи на подсчет или пример,Текстовая задача на расчет скоростей транспортных средств.
5,4 тур,Первая,7,Тип 3: Задачи на подсчет или пример,Текстовая задача на расчет скоростей транспортных средств.
5,4 тур,Вторая,7,Тип 2: Арифметика и теория чисел,Расстановка цифр по условиям суммы произведений.
5,4 тур,Высшая,8,Тип 2: Арифметика и теория чисел,"Уравнения, завязанные на функцию суммы цифр."
5,4 тур,Первая,8,Тип 2: Арифметика и теория чисел,"Уравнения, завязанные на функцию суммы цифр."
5,4 тур,Вторая,8,Тип 2: Арифметика и теория чисел,Восстановление пропущенных цифр в последовательности.
5,3 тур,Высшая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический подсчет плиток.
5,3 тур,Первая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический подсчет плиток.
5,3 тур,Вторая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический подсчет плиток.
5,3 тур,Высшая,1,Тип 3: Задачи на подсчет или пример,Вычисление числа людей на основе годов жизни.
5,3 тур,Первая,1,Тип 3: Задачи на подсчет или пример,Вычисление числа людей на основе годов жизни.
5,3 тур,Вторая,1,Тип 3: Задачи на подсчет или пример,Вычисление числа людей на основе годов жизни.
5,3 тур,Высшая,2,Тип 2: Арифметика и теория чисел,Анализ четности/равенства граней при склеивании.
5,3 тур,Первая,2,Тип 2: Арифметика и теория чисел,Анализ четности/равенства граней при склеивании.
5,3 тур,Вторая,2,Тип 2: Арифметика и теория чисел,Анализ четности/равенства граней при склеивании.
5,3 тур,Высшая,3,Тип 1: Логика и комбинаторика,Оценка максимально возможного количества заданных разностей.
5,3 тур,Первая,3,Тип 1: Логика и комбинаторика,Оценка максимально возможного количества заданных разностей.
5,3 тур,Вторая,3,Тип 1: Логика и комбинаторика,Оценка максимально возможного количества заданных разностей.
5,3 тур,Высшая,4,Тип 3: Задачи на подсчет или пример,Текстовая задача на сближение и остановки.
5,3 тур,Первая,4,Тип 3: Задачи на подсчет или пример,Текстовая задача на сближение и остановки.
5,3 тур,Вторая,4,Тип 3: Задачи на подсчет или пример,Текстовая задача на сближение и остановки.
5,3 тур,Высшая,5,Тип 3: Задачи на подсчет или пример,Построение примера заполнения таблицы крестиками и ноликами.
5,3 тур,Первая,5,Тип 3: Задачи на подсчет или пример,Построение примера заполнения таблицы крестиками и ноликами.
5,3 тур,Вторая,5,Тип 3: Задачи на подсчет или пример,Построение примера заполнения таблицы крестиками и ноликами.
5,3 тур,Высшая,6,Тип 2: Арифметика и теория чисел,Анализ переходов через разряд в сумме чисел.
5,3 тур,Первая,6,Тип 2: Арифметика и теория чисел,Анализ переходов через разряд в сумме чисел.
5,3 тур,Вторая,6,Тип 1: Логика и комбинаторика,Математическая игра на уменьшение чисел.
5,3 тур,Высшая,7,Тип 2: Арифметика и теория чисел,Использование инварианта (остатков от деления) для таблицы.
5,3 тур,Первая,7,Тип 2: Арифметика и теория чисел,Использование инварианта (остатков от деления) для таблицы.
5,3 тур,Вторая,7,Тип 2: Арифметика и теория чисел,Использование инварианта (остатков от деления) для таблицы.
5,3 тур,Высшая,8,Тип 1: Логика и комбинаторика,Построение алгоритма групповой покраски раков.
5,3 тур,Первая,8,Тип 1: Логика и комбинаторика,Построение алгоритма групповой покраски раков.
5,3 тур,Вторая,8,Тип 1: Логика и комбинаторика,Построение алгоритма групповой покраски раков.
5,2 тур,Высшая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический подсчет площади треугольника.
5,2 тур,Первая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический подсчет площади треугольника.
5,2 тур,Вторая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Геометрический подсчет площади треугольника.
5,2 тур,Высшая,1,Тип 3: Задачи на подсчет или пример,Разрезание фигуры на квадраты (поиск примера).
5,2 тур,Первая,1,Тип 3: Задачи на подсчет или пример,Разрезание фигуры на квадраты (поиск примера).
5,2 тур,Вторая,1,Тип 3: Задачи на подсчет или пример,Разрезание фигуры на квадраты (поиск примера).
5,2 тур,Высшая,2,Тип 1: Логика и комбинаторика,Поиск выигрышной стратегии (симметрия/парность).
5,2 тур,Первая,2,Тип 1: Логика и комбинаторика,Поиск выигрышной стратегии (симметрия/парность).
5,2 тур,Вторая,2,Тип 3: Задачи на подсчет или пример,Работа с геометрическими площадями пересекающихся фигур.
5,2 тур,Высшая,3,Тип 3: Задачи на подсчет или пример,Расчет долей и масс при перевозке.
5,2 тур,Первая,3,Тип 3: Задачи на подсчет или пример,Расчет долей и масс при перевозке.
5,2 тур,Вторая,3,Тип 3: Задачи на подсчет или пример,Расчет долей и масс при перевозке.
5,2 тур,Высшая,4,Тип 3: Задачи на подсчет или пример,Подсчет вариантов маршрутов на координатной сетке.
5,2 тур,Первая,4,Тип 3: Задачи на подсчет или пример,Подсчет вариантов маршрутов на координатной сетке.
5,2 тур,Вторая,4,Тип 2: Арифметика и теория чисел,"Делимость, оценка разницы количеств школьников."
5,2 тур,Высшая,5,Тип 2: Арифметика и теория чисел,Алгебраическое решение задачи на позиционную запись числа.
5,2 тур,Первая,5,Тип 2: Арифметика и теория чисел,Алгебраическое решение задачи на позиционную запись числа.
5,2 тур,Вторая,5,Тип 3: Задачи на подсчет или пример,Проверка возможности маршрута шахматной фигуры.
5,2 тур,Высшая,6,Тип 2: Арифметика и теория чисел,Анализ четности сумм в вершинах и на ребрах графа.
5,2 тур,Первая,6,Тип 2: Арифметика и теория чисел,Анализ четности сумм в вершинах и на ребрах графа.
5,2 тур,Вторая,6,Тип 2: Арифметика и теория чисел,Анализ четности сумм в вершинах и на ребрах графа.
5,2 тур,Высшая,7,Тип 3: Задачи на подсчет или пример,Вычисление процентов и количеств.
5,2 тур,Первая,7,Тип 1: Логика и комбинаторика,Комбинаторная оценка расстановки карточек с чередованием.
5,2 тур,Вторая,7,Тип 1: Логика и комбинаторика,Комбинаторная оценка расстановки карточек с чередованием.
5,2 тур,Высшая,8,Тип 1: Логика и комбинаторика,Поиск минимального алгоритма взвешиваний (магический мешок).
5,2 тур,Первая,8,Тип 1: Логика и комбинаторика,Поиск минимального алгоритма взвешиваний (магический мешок).
5,2 тур,Вторая,8,Тип 1: Логика и комбинаторика,Поиск минимального алгоритма взвешиваний (магический мешок).
5,1 тур,Высшая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Подсчет времени и сумм на табло.
5,1 тур,Первая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Подсчет времени и сумм на табло.
5,1 тур,Вторая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Подсчет времени и сумм на табло.
5,1 тур,Высшая,1,Тип 1: Логика и комбинаторика,Доказательство через четность «соседей» в циклическом графе.
5,1 тур,Первая,1,Тип 1: Логика и комбинаторика,Доказательство через четность «соседей» в циклическом графе.
5,1 тур,Вторая,1,Тип 1: Логика и комбинаторика,Доказательство через четность «соседей» в циклическом графе.
5,1 тур,Высшая,2,Тип 2: Арифметика и теория чисел,Решение буквенного ребуса (свойства разрядов).
5,1 тур,Первая,2,Тип 2: Арифметика и теория чисел,Вычитание перевернутого трехзначного числа.
5,1 тур,Вторая,2,Тип 2: Арифметика и теория чисел,Вычитание перевернутого трехзначного числа.
5,1 тур,Высшая,3,Тип 3: Задачи на подсчет или пример,Построение примера расположения точек и прямых.
5,1 тур,Первая,3,Тип 1: Логика и комбинаторика,Подсчет максимального количества прямых через графы.
5,1 тур,Вторая,3,Тип 3: Задачи на подсчет или пример,Текстовая задача на движение с возвратами (Красная шапочка).
5,1 тур,Высшая,4,Тип 3: Задачи на подсчет или пример,Поиск алгоритма переливаний жидкостей.
5,1 тур,Первая,4,Тип 1: Логика и комбинаторика,Оценка количества шагов в алгоритме уменьшения чисел.
5,1 тур,Вторая,4,Тип 1: Логика и комбинаторика,Оценка количества шагов в алгоритме уменьшения чисел.
5,1 тур,Высшая,5,Тип 2: Арифметика и теория чисел,Решение диофантова уравнения со стоимостью монет.
5,1 тур,Первая,5,Тип 2: Арифметика и теория чисел,Решение диофантова уравнения со стоимостью монет.
5,1 тур,Вторая,5,Тип 2: Арифметика и теория чисел,Решение диофантова уравнения со стоимостью монет.
5,1 тур,Высшая,6,Тип 3: Задачи на подсчет или пример,Построение примера симметричной расстановки шахматных фигур.
5,1 тур,Первая,6,Тип 3: Задачи на подсчет или пример,Построение примера симметричной расстановки шахматных фигур.
5,1 тур,Вторая,6,Тип 3: Задачи на подсчет или пример,Построение примера симметричной расстановки шахматных фигур.
5,1 тур,Высшая,7,Тип 1: Логика и комбинаторика,Исключение вариантов на основе диалога с мета-знанием.
5,1 тур,Первая,7,Тип 1: Логика и комбинаторика,Исключение вариантов на основе диалога с мета-знанием.
5,1 тур,Вторая,7,Тип 1: Логика и комбинаторика,Исключение вариантов на основе диалога с мета-знанием.
5,1 тур,Высшая,8,Тип 2: Арифметика и теория чисел,Работа с простыми и составными делителями.
5,1 тур,Первая,8,Тип 2: Арифметика и теория чисел,Работа с простыми и составными делителями.
5,1 тур,Вторая,8,Тип 2: Арифметика и теория чисел,Работа с простыми и составными делителями.
4,5 тур,Высшая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Применение признаков делимости.
4,5 тур,Первая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Применение признаков делимости.
4,5 тур,Высшая,1,Тип 1: Логика и комбинаторика,Оценка минимального числа перестановок по циклу.
4,5 тур,Первая,1,Тип 3: Задачи на подсчет или пример,Подсчет номиналов и сумм монет.
4,5 тур,Высшая,2,Тип 3: Задачи на подсчет или пример,Текстовая задача на доли и остатки игрушек.
4,5 тур,Первая,2,Тип 3: Задачи на подсчет или пример,Текстовая задача на доли и остатки игрушек.
4,5 тур,Высшая,3,Тип 3: Задачи на подсчет или пример,Оценка и построение алгоритма раундов битвы с монстрами.
4,5 тур,Первая,3,Тип 3: Задачи на подсчет или пример,Оценка и построение алгоритма раундов битвы с монстрами.
4,5 тур,Высшая,4,Тип 2: Арифметика и теория чисел,Размещение последовательных чисел по узлам (оценка сумм).
4,5 тур,Первая,4,Тип 2: Арифметика и теория чисел,Размещение последовательных чисел по узлам (оценка сумм).
4,5 тур,Высшая,5,Тип 2: Арифметика и теория чисел,"Числовой кроссворд (разряды, делители, квадраты)."
4,5 тур,Первая,5,Тип 2: Арифметика и теория чисел,Буквенный ребус со сложением.
4,5 тур,Высшая,6,Тип 1: Логика и комбинаторика,Анализ четности при чередовании нулей и единиц по кругу.
4,5 тур,Первая,6,Тип 1: Логика и комбинаторика,Логическое определение пустот на основе реакции (ко-ко).
4,5 тур,Высшая,7,Тип 1: Логика и комбинаторика,Анализ четности смены цвета клеток при ходе коня.
4,5 тур,Первая,7,Тип 1: Логика и комбинаторика,Анализ четности смены цвета клеток при ходе коня.
4,5 тур,Высшая,8,Тип 1: Логика и комбинаторика,Алгоритм перекраски кнопок в матрице (свойства сетки).
4,5 тур,Первая,8,Тип 3: Задачи на подсчет или пример,Расчет математических обменов.
4,4 тур,Высшая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Вычисление времени работы через скорости.
4,4 тур,Первая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Вычисление времени работы через скорости.
4,4 тур,Высшая,1,Тип 1: Логика и комбинаторика,Раскраска клеток и анализ связности графа на сетке.
4,4 тур,Первая,1,Тип 2: Арифметика и теория чисел,Расстановка чисел с условиями делимости.
4,4 тур,Высшая,2,Тип 2: Арифметика и теория чисел,Анализ разностей и сумм целых чисел.
4,4 тур,Первая,2,Тип 2: Арифметика и теория чисел,Анализ разностей и сумм целых чисел.
4,4 тур,Высшая,3,Тип 3: Задачи на подсчет или пример,Подсчет количества пар в колоде карт.
4,4 тур,Первая,3,Тип 3: Задачи на подсчет или пример,Вычисление количества дней (високосный год).
4,4 тур,Высшая,4,Тип 3: Задачи на подсчет или пример,Комбинаторный подсчет числа исходов турнира.
4,4 тур,Первая,4,Тип 3: Задачи на подсчет или пример,Проверка геометрического пути нестандартной фигуры.
4,4 тур,Высшая,5,Тип 3: Задачи на подсчет или пример,Текстовая задача на встречу/сближение.
4,4 тур,Первая,5,Тип 3: Задачи на подсчет или пример,Текстовая задача на встречу/сближение.
4,4 тур,Высшая,6,Тип 3: Задачи на подсчет или пример,Замощение квадрата деталями (построение примера).
4,4 тур,Первая,6,Тип 3: Задачи на подсчет или пример,Замощение квадрата деталями (построение примера).
4,4 тур,Высшая,7,Тип 1: Логика и комбинаторика,Анализ высказываний жителей острова (чередование правды/лжи).
4,4 тур,Первая,7,Тип 1: Логика и комбинаторика,Логическое восстановление кода (быки и коровы).
4,4 тур,Высшая,8,Тип 1: Логика и комбинаторика,Оценка минимального числа извлечений из корзины (принцип Дирихле).
4,4 тур,Первая,8,Тип 1: Логика и комбинаторика,Оценка минимального числа извлечений из корзины (принцип Дирихле).
4,3 тур,Высшая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Комбинаторный подбор сумм нечетных чисел.
4,3 тур,Первая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Комбинаторный подбор сумм нечетных чисел.
4,3 тур,Высшая,1,Тип 2: Арифметика и теория чисел,Поразрядный анализ умножения столбиком.
4,3 тур,Первая,1,Тип 2: Арифметика и теория чисел,Поразрядный анализ умножения столбиком.
4,3 тур,Высшая,2,Тип 3: Задачи на подсчет или пример,Анализ периодических процессов с интервалами времени.
4,3 тур,Первая,2,Тип 3: Задачи на подсчет или пример,Анализ периодических процессов с интервалами времени.
4,3 тур,Высшая,3,Тип 1: Логика и комбинаторика,Вывод истины по утверждениям соседей за круглым столом.
4,3 тур,Первая,3,Тип 1: Логика и комбинаторика,Вывод количества людей по их высказываниям.
4,3 тур,Высшая,4,Тип 2: Арифметика и теория чисел,Анализ делимости на 3 при удалении элементов из суммы.
4,3 тур,Первая,4,Тип 2: Арифметика и теория чисел,Анализ делимости на 3 при удалении элементов из суммы.
4,3 тур,Высшая,5,Тип 3: Задачи на подсчет или пример,Графическое построение разрезания квадрата.
4,3 тур,Первая,5,Тип 3: Задачи на подсчет или пример,Графическое построение разрезания квадрата.
4,3 тур,Высшая,6,Тип 3: Задачи на подсчет или пример,Комбинаторный подсчет возможных расписаний просмотра.
4,3 тур,Первая,6,Тип 3: Задачи на подсчет или пример,Подсчет возможных вариантов изъятия камней.
4,3 тур,Высшая,7,Тип 1: Логика и комбинаторика,Алгоритм сортировки весов за фиксированное число взвешиваний.
4,3 тур,Первая,7,Тип 1: Логика и комбинаторика,Алгоритм сортировки весов за фиксированное число взвешиваний.
4,3 тур,Высшая,8,Тип 3: Задачи на подсчет или пример,Вычисление доступных квадратов на испорченной сетке.
4,3 тур,Первая,8,Тип 3: Задачи на подсчет или пример,Построение разрезания (пример обхода клеток).
4,2 тур,Высшая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Подсчет длин сегментов и периметров.
4,2 тур,Первая,Конкурс капитанов,Тип 3: Задачи на подсчет или пример,Подсчет длин сегментов и периметров.
4,2 тур,Высшая,1,Тип 3: Задачи на подсчет или пример,Расчет минимального количества распилов.
4,2 тур,Первая,1,Тип 3: Задачи на подсчет или пример,Расчет минимального количества распилов.
4,2 тур,Высшая,2,Тип 2: Арифметика и теория чисел,"Подсчет элементов, удовлетворяющих признакам делимости."
4,2 тур,Первая,2,Тип 3: Задачи на подсчет или пример,Построение пути с постоянной проверкой на простоту сумм.
4,2 тур,Высшая,3,Тип 2: Арифметика и теория чисел,Конструирование «близких» чисел по разрядам.
4,2 тур,Первая,3,Тип 2: Арифметика и теория чисел,Конструирование «близких» чисел по разрядам.
4,2 тур,Высшая,4,Тип 3: Задачи на подсчет или пример,Разрезание прямоугольника для формирования квадрата.
4,2 тур,Первая,4,Тип 3: Задачи на подсчет или пример,Разрезание прямоугольника для формирования квадрата.
4,2 тур,Высшая,5,Тип 3: Задачи на подсчет или пример,Пространственная геометрия (анализ развертки куба).
4,2 тур,Первая,5,Тип 3: Задачи на подсчет или пример,Пространственная геометрия (анализ развертки куба).
4,2 тур,Высшая,6,Тип 3: Задачи на подсчет или пример,Подсчет количества страниц по медиане.
4,2 тур,Первая,6,Тип 3: Задачи на подсчет или пример,Подсчет количества страниц по медиане.
4,2 тур,Высшая,7,Тип 1: Логика и комбинаторика,Вывод на основе графа маршрутов и чередования вершин.
4,2 тур,Первая,7,Тип 1: Логика и комбинаторика,Вывод на основе графа маршрутов и чередования вершин.
4,2 тур,Высшая,8,Тип 3: Задачи на подсчет или пример,Комбинаторный подсчет вариантов раскраски графа.
4,2 тур,Первая,8,Тип 2: Арифметика и теория чисел,Анализ произведений и сравнение размеров чисел.
4,1 тур,Высшая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Работа с простыми и составными числами.
4,1 тур,Первая,Конкурс капитанов,Тип 2: Арифметика и теория чисел,Работа с простыми и составными числами.
4,1 тур,Высшая,1,Тип 3: Задачи на подсчет или пример,Текстовая задача на доли и остатки (сливы).
4,1 тур,Первая,1,Тип 3: Задачи на подсчет или пример,Текстовая задача на доли и остатки (сливы).
4,1 тур,Высшая,2,Тип 1: Логика и комбинаторика,Оценка максимально возможного распределения слитков.
4,1 тур,Первая,2,Тип 1: Логика и комбинаторика,Логические выводы на основе результатов чашечных весов.
4,1 тур,Высшая,3,Тип 1: Логика и комбинаторика,Решение через анализ высказываний лжецов и рыцарей.
4,1 тур,Первая,3,Тип 1: Логика и комбинаторика,Решение через анализ высказываний лжецов и рыцарей.
4,1 тур,Высшая,4,Тип 3: Задачи на подсчет или пример,Расчет времени с изменением скоростей на участках пути.
4,1 тур,Первая,4,Тип 3: Задачи на подсчет или пример,Расчет времени с изменением скоростей на участках пути.
4,1 тур,Высшая,5,Тип 3: Задачи на подсчет или пример,Разрезание доски с сохранением свойств полей (для ладей).
4,1 тур,Первая,5,Тип 3: Задачи на подсчет или пример,Разрезание доски с сохранением свойств полей (для ладей).
4,1 тур,Высшая,6,Тип 2: Арифметика и теория чисел,Решение диофантова уравнения (нахождение стоимостей).
4,1 тур,Первая,6,Тип 2: Арифметика и теория чисел,Решение диофантова уравнения (нахождение стоимостей).
4,1 тур,Высшая,7,Тип 2: Арифметика и теория чисел,Использование инвариантов (четности/делимости сумм).
4,1 тур,Первая,7,Тип 2: Арифметика и теория чисел,Использование инвариантов (четности/делимости сумм).
4,1 тур,Высшая,8,Тип 3: Задачи на подсчет или пример,Комбинаторный подсчет убывающих последовательностей.
4,1 тур,Первая,8,Тип 3: Задачи на подсчет или пример,Комбинаторный подсчет чисел с заданным свойством сдвига.
